,Tarih,Yıl,Ay,Alış (Forex),Satış (Forex),Gun,Haftalik_Ortalama,Onceki_Gun_Fiyat
268,2022-01-14,2022,1,15.4799,15.5078,14,15.523171428571429,15.5177
269,2022-01-17,2022,1,15.394,15.4217,17,15.520814285714286,15.4799
270,2022-01-18,2022,1,15.395,15.4227,18,15.498657142857143,15.394
271,2022-01-19,2022,1,15.3848,15.4125,19,15.475871428571427,15.395
272,2022-01-20,2022,1,15.2577,15.2852,20,15.431414285714284,15.3848
273,2022-01-21,2022,1,15.1892,15.2166,21,15.374042857142856,15.2577
274,2022-01-24,2022,1,15.1506,15.1779,24,15.321600000000002,15.1892
275,2022-01-25,2022,1,15.2425,15.27,25,15.287685714285715,15.1506
276,2022-01-26,2022,1,15.2404,15.2678,26,15.265742857142856,15.2425
277,2022-01-27,2022,1,15.2159,15.2433,27,15.240157142857143,15.2404
278,2022-01-28,2022,1,15.1536,15.1809,28,15.207128571428571,15.2159
279,2022-01-31,2022,1,14.9676,14.9946,31,15.165685714285715,15.1536
280,2022-02-01,2022,2,15.0503,15.0774,1,15.145842857142858,14.9676
281,2022-02-02,2022,2,15.1653,15.1926,2,15.147942857142855,15.0503
282,2022-02-03,2022,2,15.3002,15.3278,3,15.156185714285714,15.1653
283,2022-02-04,2022,2,15.5162,15.5441,4,15.195585714285714,15.3002
284,2022-02-07,2022,2,15.4812,15.509,7,15.233485714285715,15.5162
285,2022-02-08,2022,2,15.5412,15.5692,8,15.288857142857143,15.4812
286,2022-02-09,2022,2,15.5002,15.5281,9,15.364942857142855,15.5412
287,2022-02-10,2022,2,15.4713,15.4991,10,15.425085714285714,15.5002
288,2022-02-11,2022,2,15.3674,15.3951,11,15.453957142857144,15.4713
289,2022-02-14,2022,2,15.327,15.3546,14,15.457785714285714,15.3674
290,2022-02-15,2022,2,15.4218,15.4496,15,15.4443,15.327
291,2022-02-16,2022,2,15.4927,15.5207,16,15.445942857142857,15.4218
292,2022-02-17,2022,2,15.462,15.4899,17,15.434628571428572,15.4927
293,2022-02-18,2022,2,15.4745,15.5024,18,15.430957142857142,15.462
294,2022-02-21,2022,2,15.4651,15.4929,21,15.430071428571429,15.4745
295,2022-02-22,2022,2,15.5648,15.5928,22,15.458271428571427,15.4651
296,2022-02-23,2022,2,15.6358,15.664,23,15.502385714285714,15.5648
297,2022-02-24,2022,2,15.9627,15.9914,24,15.579657142857142,15.6358
298,2022-02-25,2022,2,15.7097,15.738,25,15.610657142857141,15.9627
299,2022-02-28,2022,2,15.4724,15.5002,28,15.612142857142857,15.7097
300,2022-03-01,2022,3,15.5556,15.5836,1,15.623728571428572,15.4724
301,2022-03-02,2022,3,15.5729,15.601,2,15.639128571428571,15.5556
302,2022-03-03,2022,3,15.6521,15.6803,3,15.651600000000002,15.5729
303,2022-03-04,2022,3,15.6017,15.6298,4,15.646728571428572,15.6521
304,2022-03-07,2022,3,15.5309,15.5589,7,15.585042857142858,15.6017
305,2022-03-08,2022,3,15.7502,15.7786,8,15.590828571428572,15.5309
306,2022-03-09,2022,3,15.9918,16.0207,9,15.66502857142857,15.7502
307,2022-03-10,2022,3,16.2842,16.3135,10,15.769114285714286,15.9918
308,2022-03-11,2022,3,16.3758,16.4053,11,15.883814285714285,16.2842
309,2022-03-14,2022,3,16.1627,16.1918,14,15.956757142857144,16.3758
310,2022-03-15,2022,3,16.217,16.2462,15,16.044657142857144,16.1627
311,2022-03-16,2022,3,16.1254,16.1545,16,16.129585714285714,16.217
312,2022-03-17,2022,3,16.2065,16.2357,17,16.19477142857143,16.1254
313,2022-03-18,2022,3,16.3261,16.3555,18,16.242528571428572,16.2065
314,2022-03-21,2022,3,16.3668,16.3963,21,16.254328571428573,16.3261
